CARRO;PLACA;EMPRESA;STATUS;UF;ANO FAB;ANO MOD;MARCA;MODELO;TIPO;EIXO;QTD POLT;POT MOTOR;CHASSI;RENAVAM
6096;PKA8D33;PROGRESSO;ATIVO;PE;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884401;1094091437
6097;PKO1718;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3902907;1125476211
6098;PLH4196;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932522;1168655223
6099;PLX6E69;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954733;1207578751
6103;RPT9J32;PROGRESSO;ATIVO;BA;2022;2023;SCANIA;COMIL CAMPIONE DD;DD - SEMI-LEITO/LEITO;3;52;400;9BSK6X200P4033027;1337427206
6104;OZO3195;PROGRESSO;ATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864164;1021663503
6105;PJO3274;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880773;1067094390
6106;PKA4683;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884389;1094175967
6107;PKO5498;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3903185;1125475452
6108;PLH3459;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932533;1168656165
6109;PLX3C19;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954729;1207577461
6114;OZO6376;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864150;1021604027
6115;PJP1609;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880794;1069892634
6116;PKA5298;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884407;1094088959
6117;PKP5846;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3905573;1126700379
6118;PLH5422;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932538;1168648243
6119;PLX1C98;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3956167;1207575990
6124;OZP4I94;PROGRESSO;ATIVO;PE;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864202;1023463811
6125;PJP3813;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3880749;1069377314
6126;PKA6032;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884404;1094090180
6127;PKP6061;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3905577;1126701537
6128;PLH3784;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932543;1168655568
6129;PLX4C13;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954718;1207573709
6134;OZP8753;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864223;1022855309
6135;PJP9225;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3881210;1069925036
6136;PKA0287;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884402;1094090589
6137;PKP7326;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3905585;1126703211
6138;PLH5979;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932535;1168655827
